ID,AvatarLevel,Gold,Gems,Purchases,VipLevel,TotalPlay,TotalWon,TotalLost,FirstInstallDate,LastSeenDate,Card_score,TotalStars,Overall_progress
usr067052,130,675204,2776,"{'starter_1': 2, 'gem_sub_1': 26, 'gem_1': 2, 'gem_3': 4, 'gem_2': 4, 'gem_4': 2, 'starter_2': 2, 'gem_5': 5, 'prog_25': 1, 'prog_27': 1, 'prog_30': 1, 'prog_32': 1, 'starter_3': 2, 'clan_2': 3, 'prog_35': 1, 'prog_37': 1, 'prog_40': 1, 'prog_42': 1, 'prog_45': 1, 'timed_j_2_4': 1, 'timed_j_2_3': 3, 'prog_47': 1, 'timed_g_2_2': 1, 'timed_g_2_4': 1, 'prog_50': 1, 'prog_52': 1, 'timed_c_3_1': 1, 'clan_3': 2, 'prog_57': 1, 'timed_q_3_5': 3, 'timed_q_3_2': 3, 'prog_60': 1, 'prog_61': 1, 'prog_64': 2, 'prog_65': 1, 'timed_f_3_7': 5, 'timed_f_3_1': 5, 'timed_f_3_2': 44, 'prog_66': 1, 'prog_67': 1, 'prog_70': 1, 'timed_a_3_1': 3, 'timed_a_3_3': 1, 'timed_a_3_4': 3, 'timed_a_3_2': 1, 'prog_75': 1, 'prog_78': 1, 'prog_80': 1, 'timed_h_3_2': 2, 'prog_84': 1, 'prog_87': 1, 'timed_n_4_1': 5, 'prog_89': 1, 'timed_b_1_2': 1, 'timed_b_1_5': 1, 'prog_97_1': 1, 'timed_j_3_4': 2, 'timed_f_4_7': 2, 'timed_f_4_1': 1, 'gem_sub_3': 1, 'timed_a_4_5': 2, 'gem_sub_2': 3, 'timed_i_3_4': 3, 'timed_n_5_1': 5, 'timed_k_4_2': 3, 'timed_m_1_13': 6, 'timed_q_5_5': 6, 'timed_a_5_5': 10, 'timed_a_5_4': 1}",17,22669,16475,694,2021-08-02,2024-04-11,1.3106989358730616,7870,0.997362935959427
usr058004,133,30918856,1413,"{'gem_sub_1': 37, 'timed_c_1_2': 1, 'gem_2': 3, 'prog_s_2': 1, 'prog_75': 1, 'gem_3': 2, 'gem_1': 4, 'timed_q_1_4': 1, 'starter_2': 1, 'clan_1': 1}",11,25320,15856,1156,2018-03-27,2024-04-11,1.3107396027619846,7786,0.98756436545910231
usr012604,178,94472488,4808,"{'gem_sub_2': 7, 'prog_78': 1, 'gem_sub_1': 32, 'clan_1': 1, 'timed_g_2_6': 1, 'gem_sub_3': 1, 'gem_2': 2, 'timed_f_4_7': 5, 'timed_a_4_5': 3, 'timed_a_5_5': 1}",12,36987,29326,37,2020-08-25,2024-04-12,1.3107893200860592,7368,0.93030303030303019
usr083920,116,10100,5,{},0,22508,16204,2675,2021-12-29,2024-04-12,1.3108821871617975,4314,0.57603189325331861
usr043763,100,4218483,2493,{},0,12796,7503,1725,2020-09-19,2024-04-11,1.3110553167802477,6705,0.85734312633435428
usr086852,144,41034168,16209,{'gem_sub_1': 1},1,30121,21283,866,2019-01-01,2024-04-12,1.3111340825972346,6667,0.85857476182037573
usr087412,128,3699450,11746,{},0,23808,14765,3570,2018-03-25,2024-04-12,1.3111468222860958,6054,0.78014750681417333
usr105176,129,26672,2223,"{'timed_h_1_1': 1, 'daily_7': 1, 'timed_d_1_1': 3, 'gem_sub_1': 2, 'clan_1': 1}",3,24600,16329,2118,2019-01-08,2024-04-11,1.3111775427067409,5836,0.74631547302599921
usr066501,65,23524072,16869,{},0,6560,4804,906,2019-05-22,2024-04-08,1.3113462872692216,2116,0.30314800667741848
usr056246,99,13907,2331,"{'daily_10': 1, 'special_5': 1, 'gem_sub_1': 7, 'timed_n_4_1': 1, 'timed_q_4_5': 1, 'gem_1': 1, 'timed_i_3_4': 1}",5,15484,11225,153,2022-01-27,2024-04-12,1.3113492857264424,3501,0.49334936668269991
usr005690,70,2840476,2696,{},0,7320,5452,46,2023-01-17,2024-04-12,1.3113995937315726,2510,0.35887357627144684
usr002818,97,3884981,2387,{'clan_1': 2},1,13441,8866,825,2021-06-03,2024-04-11,1.3115729986674636,5074,0.6632131111524302
usr016494,62,143975,383,{},0,6211,4559,466,2023-03-03,2024-04-11,1.311698858784178,2609,0.38272930622524121
usr057492,131,7880,920,"{'gem_2': 2, 'starter_1': 2, 'gem_sub_1': 14, 'gem_1': 4, 'prog_42': 1, 'timed_h_3_1': 1, 'daily_6': 1, 'prog_61': 1, 'timed_n_4_1': 1, 'starter_2': 1, 'timed_b_1_1': 1, 'prog_75': 1, 'gem_3': 1, 'timed_o_1_1': 1, 'timed_e_1_1': 2, 'prog_78': 1, 'timed_e_0_1': 1, 'timed_j_3_4': 3, 'timed_g_2_6': 5, 'timed_c_4_4': 1, 'timed_q_4_4': 1, 'timed_f_4_7': 5, 'timed_p_3_1': 1, 'timed_a_4_5': 1, 'timed_i_3_3': 2, 'gem_sub_2': 1, 'timed_n_5_1': 1, 'gem_sub_3': 1, 'timed_m_1_13': 1, 'timed_m_1_14': 1, 'timed_m_2_1': 5, 'timed_f_5_7': 3}",11,26006,20475,999,2022-02-18,2024-04-12,1.3119165347645836,6796,0.862650416762971
usr037636,119,20878870,2243,{},0,19304,13748,1318,2018-03-23,2024-04-12,1.3120100125444638,5981,0.779256261512911
usr102859,130,2239504,2379,{'gem_sub_1': 1},1,22011,17025,964,2019-01-25,2024-04-12,1.3121041210515725,7559,0.95245268052285581
usr003865,150,75554496,7402,"{'starter_1': 1, 'timed_q_0_3': 1, 'prog_32': 1, 'prog_75': 1, 'gem_1': 1, 'gem_3': 2, 'gem_5': 1, 'gem_sub_1': 14, 'prog_69': 1, 'prog_52': 1, 'timed_h_0_1': 2, 'prog_68': 1, 'timed_n_1_1': 1, 'prog_70': 1, 'prog_40': 1, 'starter_2': 1, 'prog_50': 1, 'timed_l_0_1': 1, 'gem_2': 1, 'gem_4': 1, 'timed_l_0_2': 1, 'timed_h_0_2': 1, 'clan_2': 3, 'starter_3': 1, 'special_4': 1, 'clan_1': 2, 'timed_h_4_1': 1, 'timed_m_1_1': 1}",12,32122,22017,3216,2018-08-21,2024-04-10,1.312125786031294,7005,0.89953122042721045
usr016713,139,4058647,8851,{'timed_a_2_2': 1},4,30390,22993,957,2019-11-21,2024-04-12,1.3122171413639927,5593,0.72753487253487248
usr034573,128,30831004,4751,{},0,21488,15548,1658,2018-01-14,2024-03-19,1.3122750581420377,6367,0.82003242037555768
usr082439,132,1644209,11516,{'gem_sub_1': 1},1,24744,18217,1657,2021-08-21,2024-04-12,1.3122795983769286,7255,0.91870166638337047
