ID,AvatarLevel,Gold,Gems,Purchases,TotalPlay,TotalWon,TotalLost,FirstInstallDate,VipLevel,LastSeenDate,Cards_collected,Card_score,Overall_progress,TotalStars
usr100817,100,304158,278,{},14894,10486,383,2020-04-08 00:00:00+00:00,0,2024-04-11 10:09:50.698000+00:00,0.7472510804958117,0.6853422095676315,0.5515841750357467,3984.0
usr100818,46,2535253,2845,{},2341,2036,28,2020-08-18 00:00:00+00:00,0,2024-01-15 04:54:50.939000+00:00,0.5251014419625829,0.36416860139741125,0.19556913674560733,1305.0
usr100821,34,1412963,2401,{},1203,995,35,2022-12-30 00:00:00+00:00,0,2024-04-08 13:07:18.431000+00:00,0.4194741536992152,0.23848958849553537,0.14559180656741633,838.0
usr100829,88,579175,1547,{},11633,9027,111,2022-10-26 00:00:00+00:00,0,2024-03-23 07:03:49.011000+00:00,0.6786707573832629,1.408089532230662,0.5584382149016295,4091.0
usr100836,137,1953126,897,{'gem_sub_1': 1},26900,15288,3624,2018-02-06 11:33:45+00:00,1,2024-04-11 12:31:24.575000+00:00,0.8825533339940952,1.6535947947984027,0.982140578719526,7753.0
usr100851,144,6274366,4096,"{'gem_sub_1': 8, 'timed_l_0_2': 1, 'daily_7': 1, 'starter_1': 1, 'timed_l_0_1': 1, 'gem_1': 1, 'prog_37': 1, 'gem_sub_2': 1}",30252,21733,1908,2018-06-14 09:53:07+00:00,6,2024-04-12 00:13:42.636000+00:00,0.9396484146220592,0.9834205538986451,0.8554551783499152,6593.0
usr100860,44,267431,1359,{},2345,1854,38,2021-04-10 00:00:00+00:00,0,2024-04-01 14:08:42.449000+00:00,0.4478557526828433,0.3366717425191246,0.315266946065607,2184.0
usr100868,56,1032039,3922,{},4662,3749,217,2021-12-04 00:00:00+00:00,0,2024-03-01 12:06:14.135000+00:00,0.5218359268236277,0.8871308468664371,0.2483394165747107,1713.0
usr100875,118,64378600,21697,{},20860,11296,3119,2019-04-29 10:31:21+00:00,0,2024-04-04 10:59:10.554000+00:00,0.7529445200315964,1.040157181229958,0.9264072228217888,7468.0
usr100877,43,2296373,2112,{},2561,2115,18,2023-10-20 00:00:00+00:00,0,2024-04-11 22:13:38.075000+00:00,0.3968685894836747,1.1375391826776273,0.12683982683982684,723.0
usr100883,68,133085,9525,{'gem_sub_1': 1},6635,4899,176,2021-12-03 00:00:00+00:00,1,2024-03-15 16:01:42.755000+00:00,0.5352572766399659,0.6940861062805415,0.4301252832577557,2988.0
usr100889,85,17564648,367,"{'gem_sub_1': 4, 'starter_1': 1, 'prog_27': 1, 'daily_9': 1}",9385,6324,526,2019-10-31 20:37:58+00:00,4,2024-04-12 03:21:48.907000+00:00,0.6557978849613605,0.35519085005010775,0.667788260545875,5051.0
usr100894,86,2777373,239,{'gem_sub_1': 3},10999,6489,100,2020-08-01 00:00:00+00:00,3,2024-02-16 03:02:03.408000+00:00,0.7504163550573811,1.1819146175540396,0.5516219842535632,3989.0
